# SD_corrected_positions.csv
# Corrected SD positions in WGS84/ITRF, consistent with FD telescope positions
# Generated from TA_TALE_TAx4 GPS & NED.xlsx (Kido/Okuda analysis)
#
# Height correction: h_itrf = H_NED + N_geoid + h_antenna - 0.73
#   H_NED:      USGS NED orthometric height (NAVD88)
#   N_geoid:    GEOID12B undulation (NAD83 ellipsoid to NAVD88 geoid)
#   h_antenna:  SD GPS antenna height above ground (0.89 m)
#   -0.73:      NAD83 to WGS84/ITRF frame correction
#
# Horizontal coordinates: from Motorola Oncore GPS (WGS84, minimal iono effect)
# Vertical coordinate:    from NED + geoid (avoids ~5.3 m L1 ionospheric bias)
#
# outlier: 1 = outside IQR fences, likely DEM interpolation error on slopes
# iono_residual: h_gps - h_itrf (measures ionospheric height bias per station)
#
array,site,latitude,longitude,h_itrf_corrected,h_gps_raw,h_ned_ortho,N_geoid,iono_residual,outlier
TA,106,39.184,-113.066,1509.568,1513.520,1529.480,-20.072,3.952,0
TA,107,39.195,-113.065,1491.385,1496.780,1511.280,-20.055,5.395,0
TA,108,39.206,-113.065,1482.210,1487.350,1502.090,-20.040,5.140,0
TA,109,39.217,-113.065,1484.446,1489.690,1504.310,-20.024,5.244,0
TA,110,39.228,-113.065,1484.520,1489.630,1504.370,-20.010,5.110,0
TA,111,39.238,-113.065,1469.900,1475.450,1489.740,-20.000,5.550,0
TA,112,39.249,-113.065,1454.870,1460.310,1474.700,-19.990,5.440,0
TA,113,39.260,-113.065,1445.720,1451.760,1465.540,-19.980,6.040,0
TA,114,39.271,-113.065,1450.532,1457.070,1470.340,-19.968,6.538,0
TA,115,39.282,-113.065,1455.887,1460.640,1475.680,-19.953,4.753,0
TA,116,39.292,-113.065,1468.024,1474.670,1487.800,-19.936,6.646,0
TA,205,39.173,-113.051,1435.714,1442.220,1455.660,-20.106,6.506,0
TA,206,39.185,-113.050,1457.975,1462.950,1477.900,-20.085,4.975,0
TA,207,39.195,-113.051,1455.281,1460.690,1475.190,-20.069,5.409,0
TA,208,39.206,-113.051,1456.187,1461.470,1476.080,-20.053,5.283,0
TA,209,39.217,-113.051,1447.482,1452.880,1467.360,-20.038,5.398,0
TA,210,39.227,-113.051,1439.155,1444.430,1459.020,-20.025,5.275,0
TA,211,39.238,-113.051,1437.177,1442.990,1457.030,-20.013,5.813,0
TA,212,39.249,-113.051,1438.509,1443.880,1458.350,-20.001,5.371,0
TA,213,39.260,-113.051,1444.151,1450.360,1463.980,-19.989,6.209,0
TA,214,39.271,-113.051,1441.434,1446.510,1461.250,-19.976,5.076,0
TA,215,39.281,-113.051,1449.909,1455.360,1469.710,-19.961,5.451,0
TA,216,39.292,-113.051,1483.178,1489.530,1502.960,-19.942,6.352,0
TA,217,39.303,-113.051,1550.435,1554.960,1570.200,-19.925,4.525,0
TA,304,39.162,-113.038,1416.666,1420.530,1436.640,-20.134,3.864,0
TA,305,39.173,-113.037,1425.316,1429.190,1445.270,-20.114,3.874,0
TA,306,39.184,-113.037,1434.514,1439.530,1454.450,-20.096,5.016,0
TA,307,39.195,-113.037,1438.300,1443.540,1458.220,-20.080,5.240,0
TA,308,39.206,-113.037,1438.106,1443.890,1458.010,-20.064,5.784,0
TA,309,39.217,-113.037,1431.671,1437.310,1451.560,-20.049,5.639,0
TA,310,39.227,-113.037,1428.395,1433.520,1448.270,-20.035,5.125,0
TA,311,39.238,-113.037,1429.978,1435.140,1449.840,-20.022,5.162,0
TA,312,39.249,-113.037,1433.210,1438.890,1453.060,-20.010,5.680,0
TA,313,39.260,-113.037,1435.633,1441.640,1455.470,-19.997,6.007,0
TA,314,39.271,-113.037,1433.807,1438.710,1453.630,-19.983,4.903,0
TA,315,39.281,-113.037,1438.112,1443.460,1457.920,-19.968,5.348,0
TA,316,39.292,-113.037,1455.679,1462.260,1475.470,-19.951,6.581,0
TA,317,39.303,-113.037,1481.658,1486.460,1501.430,-19.932,4.802,0
TA,318,39.314,-113.037,1485.696,1490.840,1505.450,-19.914,5.144,0
TA,403,39.152,-113.024,1393.303,1399.410,1413.300,-20.157,6.107,0
TA,404,39.162,-113.023,1404.460,1409.930,1424.440,-20.140,5.470,0
TA,405,39.173,-113.023,1414.528,1420.030,1434.490,-20.122,5.502,0
TA,406,39.185,-113.024,1422.836,1428.740,1442.780,-20.104,5.904,0
TA,407,39.195,-113.023,1428.551,1432.370,1448.480,-20.089,3.819,0
TA,408,39.206,-113.023,1433.727,1439.720,1453.640,-20.073,5.993,0
TA,409,39.217,-113.023,1424.431,1429.000,1444.330,-20.059,4.569,0
TA,410,39.227,-113.023,1419.125,1423.220,1439.010,-20.045,4.095,0
TA,411,39.238,-113.023,1422.719,1427.550,1442.590,-20.031,4.831,0
TA,412,39.249,-113.024,1426.082,1431.780,1445.940,-20.018,5.698,0
TA,413,39.260,-113.023,1429.385,1435.520,1449.230,-20.005,6.135,0
TA,414,39.271,-113.023,1421.020,1426.570,1440.850,-19.990,5.550,0
TA,415,39.281,-113.023,1421.045,1426.550,1440.860,-19.975,5.505,0
TA,416,39.292,-113.023,1426.082,1433.060,1445.880,-19.958,6.978,0
TA,417,39.303,-113.023,1436.231,1440.340,1456.010,-19.939,4.109,0
TA,418,39.314,-113.023,1441.671,1448.090,1461.430,-19.919,6.419,0
TA,419,39.325,-113.023,1450.143,1457.000,1469.880,-19.897,6.857,0
TA,502,39.141,-113.009,1379.749,1384.150,1399.760,-20.171,4.401,0
TA,503,39.152,-113.010,1388.623,1392.920,1408.620,-20.157,4.297,0
TA,504,39.163,-113.010,1398.949,1403.600,1418.930,-20.141,4.651,0
TA,505,39.173,-113.010,1402.434,1410.710,1422.400,-20.126,8.276,1
TA,506,39.184,-113.010,1406.500,1410.130,1426.450,-20.110,3.630,0
TA,507,39.195,-113.010,1404.857,1408.840,1424.790,-20.093,3.983,0
TA,508,39.206,-113.010,1400.992,1406.550,1420.910,-20.078,5.558,0
TA,509,39.217,-113.009,1405.537,1410.610,1425.440,-20.063,5.073,0
TA,510,39.227,-113.010,1410.311,1415.500,1430.200,-20.049,5.189,0
TA,511,39.238,-113.010,1416.926,1420.830,1436.800,-20.034,3.904,0
TA,512,39.249,-113.009,1418.890,1424.030,1438.750,-20.020,5.140,0
TA,513,39.260,-113.009,1413.634,1420.130,1433.480,-20.006,6.496,0
TA,514,39.271,-113.010,1408.609,1414.910,1428.440,-19.991,6.301,0
TA,515,39.281,-113.010,1411.805,1417.720,1431.620,-19.975,5.915,0
TA,516,39.292,-113.010,1417.322,1423.970,1437.120,-19.958,6.648,0
TA,517,39.303,-113.009,1425.171,1430.330,1444.950,-19.939,5.159,0
TA,518,39.314,-113.009,1436.721,1443.450,1456.480,-19.919,6.729,0
TA,519,39.325,-113.010,1449.344,1455.980,1469.080,-19.896,6.636,0
TA,520,39.335,-113.009,1456.961,1462.340,1476.670,-19.869,5.379,0
TA,601,39.130,-112.996,1369.453,1375.620,1389.470,-20.177,6.167,0
TA,602,39.141,-112.996,1376.695,1381.300,1396.700,-20.165,4.605,0
TA,603,39.152,-112.996,1383.019,1388.310,1403.010,-20.151,5.291,0
TA,604,39.162,-112.996,1385.882,1391.780,1405.860,-20.138,5.898,0
TA,605,39.173,-112.996,1389.797,1395.290,1409.760,-20.123,5.493,0
TA,606,39.184,-112.996,1395.101,1400.630,1415.050,-20.109,5.529,0
TA,607,39.195,-112.996,1397.727,1402.930,1417.660,-20.093,5.203,0
TA,608,39.206,-112.996,1393.792,1399.680,1413.710,-20.078,5.888,0
TA,609,39.217,-112.996,1397.977,1403.010,1417.880,-20.063,5.033,0
TA,610,39.227,-112.996,1403.512,1408.900,1423.400,-20.048,5.388,0
TA,611,39.238,-112.996,1407.577,1412.430,1427.450,-20.033,4.853,0
TA,612,39.249,-112.996,1414.232,1419.890,1434.090,-20.018,5.658,0
TA,613,39.260,-112.996,1405.126,1409.570,1424.970,-20.004,4.444,0
TA,614,39.270,-112.996,1402.161,1408.020,1421.990,-19.989,5.859,0
TA,615,39.281,-112.996,1407.768,1412.990,1427.580,-19.972,5.222,0
TA,616,39.292,-112.996,1414.375,1419.740,1434.170,-19.955,5.365,0
TA,617,39.303,-112.996,1416.553,1421.420,1436.330,-19.937,4.867,0
TA,618,39.314,-112.996,1423.063,1429.030,1442.820,-19.917,5.967,0
TA,619,39.325,-112.996,1432.456,1439.350,1452.190,-19.894,6.894,0
TA,620,39.336,-112.996,1445.063,1452.320,1464.770,-19.867,7.257,0
TA,621,39.346,-112.996,1464.912,1470.030,1484.590,-19.838,5.118,0
TA,701,39.130,-112.982,1369.466,1374.710,1389.470,-20.164,5.244,0
TA,702,39.141,-112.982,1370.815,1376.480,1390.810,-20.155,5.665,0
TA,703,39.152,-112.982,1380.085,1384.830,1400.070,-20.145,4.745,0
TA,704,39.163,-112.982,1386.268,1391.600,1406.240,-20.132,5.332,0
TA,705,39.173,-112.982,1389.330,1395.830,1409.290,-20.120,6.500,0
TA,706,39.184,-112.982,1400.424,1405.730,1420.370,-20.106,5.306,0
TA,707,39.195,-112.982,1387.948,1393.780,1407.880,-20.092,5.832,0
TA,708,39.206,-112.982,1389.022,1393.660,1408.940,-20.078,4.638,0
TA,709,39.217,-112.982,1391.956,1397.260,1411.860,-20.064,5.304,0
TA,710,39.227,-112.982,1394.211,1399.340,1414.100,-20.049,5.129,0
TA,711,39.238,-112.982,1399.476,1404.620,1419.350,-20.034,5.144,0
TA,712,39.249,-112.983,1405.590,1409.970,1425.450,-20.020,4.380,0
TA,713,39.260,-112.982,1398.606,1404.040,1418.450,-20.004,5.434,0
TA,714,39.271,-112.982,1398.482,1405.040,1418.310,-19.988,6.558,0
TA,715,39.281,-112.982,1408.228,1413.970,1428.040,-19.972,5.742,0
TA,716,39.292,-112.982,1407.435,1412.530,1427.230,-19.955,5.095,0
TA,717,39.303,-112.982,1408.113,1412.740,1427.890,-19.937,4.627,0
TA,718,39.314,-112.982,1412.892,1417.940,1432.650,-19.918,5.048,0
TA,719,39.325,-112.982,1421.084,1427.240,1440.820,-19.896,6.156,0
TA,720,39.335,-112.982,1434.250,1439.410,1453.960,-19.870,5.160,0
TA,721,39.346,-112.982,1450.149,1455.510,1469.830,-19.841,5.361,0
TA,722,39.357,-112.982,1471.353,1476.960,1491.000,-19.807,5.607,0
TA,801,39.130,-112.968,1365.530,1370.850,1385.520,-20.150,5.320,0
TA,802,39.141,-112.968,1367.897,1372.850,1387.880,-20.143,4.953,0
TA,803,39.152,-112.968,1379.375,1383.880,1399.350,-20.135,4.505,0
TA,804,39.163,-112.968,1385.025,1390.840,1404.990,-20.125,5.815,0
TA,805,39.173,-112.968,1378.217,1384.690,1398.170,-20.113,6.473,0
TA,806,39.184,-112.968,1390.869,1396.970,1410.810,-20.101,6.101,0
TA,807,39.195,-112.968,1379.963,1386.690,1399.890,-20.087,6.727,0
TA,808,39.206,-112.968,1381.406,1387.080,1401.320,-20.074,5.674,0
TA,809,39.217,-112.968,1382.861,1388.860,1402.760,-20.059,5.999,0
TA,810,39.227,-112.968,1388.175,1393.600,1408.060,-20.045,5.425,0
TA,811,39.238,-112.968,1387.960,1393.740,1407.830,-20.030,5.780,0
TA,812,39.249,-112.968,1387.554,1393.370,1407.410,-20.016,5.816,0
TA,813,39.260,-112.968,1390.519,1395.570,1410.360,-20.001,5.051,0
