# TA_all_positions_ITRF00.csv
# All Telescope Array positions in WGS84/ITRF00
# ENU coordinates relative to CLF ground origin (ITRF00)
#   Origin: lat=39.296917698, lon=-112.908732386, h=1370.017 m
#
# outlier=1: flagged for review
# sigma_h, sigma_horizontal: estimated uncertainties (m)
#
category,site,name,latitude,longitude,h_itrf00,sigma_h,east_clf,north_clf,up_clf,sigma_horizontal,frame,source,outlier,notes
Monument,Black Rock Mesa,BR1,39.188360,-112.712623,1395.053000,0.004000,16894.313000,-12084.547000,25.036000,0.010000,ITRF00,OPUS weighted avg,0,n=7 solutions
Monument,Black Rock Mesa,BR2,39.188848,-112.712312,1394.659000,0.009000,16921.087000,-12030.261000,24.642000,0.010000,ITRF00,OPUS weighted avg,0,n=2 solutions
Monument,Central Laser,CLF1,,,,,,,,,ITRF00,OPUS FAILED,1,Resurvey required
Monument,Central Laser,CLF2,39.295168,-112.908723,1369.979000,0.016000,0.825000,-194.736000,-0.038000,0.010000,ITRF00,OPUS weighted avg,0,n=2 solutions
Monument,Long Ridge,LR1,39.207869,-113.120624,1537.847000,0.009000,-18253.854000,-9912.886000,167.830000,0.010000,ITRF00,OPUS weighted avg,0,n=3 solutions
Monument,Long Ridge,LR2,39.208367,-113.120869,1538.340000,0.010000,-18274.955000,-9857.470000,168.323000,0.010000,ITRF00,OPUS weighted avg,0,n=2 solutions
Monument,Middle Drum,MD1,39.472789,-112.994211,1587.222000,0.004000,-7363.711000,19577.903000,217.205000,0.010000,ITRF00,OPUS weighted avg,0,n=3 solutions
Monument,Middle Drum,MD2,39.472350,-112.991792,1582.449000,0.020000,-7155.337000,19529.078000,212.432000,0.010000,ITRF00,OPUS weighted avg,0,n=1 solutions
Telescope Mirror,Black Rock Mesa,BR_M00,39.188305,-112.711839,1396.636000,0.020000,17014.520000,-12042.358000,-7.436000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M01,39.188306,-112.711835,1400.607000,0.020000,17014.892000,-12042.246000,-3.466000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M02,39.188265,-112.711831,1396.638000,0.020000,17015.278000,-12046.723000,-7.444000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M03,39.188265,-112.711826,1400.604000,0.020000,17015.654000,-12046.730000,-3.480000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M04,39.188373,-112.711811,1396.639000,0.020000,17016.996000,-12034.777000,-7.426000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M05,39.188372,-112.711807,1400.606000,0.020000,17017.351000,-12034.893000,-3.460000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M06,39.188337,-112.711833,1396.639000,0.020000,17015.053000,-12038.717000,-7.428000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M07,39.188335,-112.711830,1400.606000,0.020000,17015.340000,-12038.957000,-3.462000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M08,39.188415,-112.711735,1396.642000,0.020000,17023.475000,-12030.088000,-7.431000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M09,39.188412,-112.711733,1400.617000,0.020000,17023.687000,-12030.376000,-3.458000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M10,39.188397,-112.711781,1396.646000,0.020000,17019.555000,-12032.131000,-7.421000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Black Rock Mesa,BR_M11,39.188394,-112.711779,1400.609000,0.020000,17019.689000,-12032.475000,-3.458000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M00,39.207980,-113.121448,1544.667000,0.020000,-18377.120000,-9854.672000,140.585000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M01,39.207977,-113.121449,1548.621000,0.020000,-18377.247000,-9854.990000,144.538000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M02,39.208003,-113.121490,1544.667000,0.020000,-18380.759000,-9852.152000,140.579000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M03,39.208001,-113.121493,1548.622000,0.020000,-18381.005000,-9852.399000,144.533000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M04,39.207916,-113.121405,1544.672000,0.020000,-18373.438000,-9861.773000,140.590000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M05,39.207915,-113.121409,1548.628000,0.020000,-18373.750000,-9861.934000,144.544000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M06,39.207954,-113.121422,1544.682000,0.020000,-18374.915000,-9857.595000,140.602000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M07,39.207953,-113.121426,1548.632000,0.020000,-18375.264000,-9857.668000,144.551000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M08,39.207845,-113.121419,1544.684000,0.020000,-18374.639000,-9869.632000,140.586000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M09,39.207846,-113.121423,1548.643000,0.020000,-18374.999000,-9869.584000,144.544000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M10,39.207883,-113.121404,1544.680000,0.020000,-18373.367000,-9865.405000,140.593000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Long Ridge,LR_M11,39.207885,-113.121408,1548.629000,0.020000,-18373.667000,-9865.264000,144.541000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M01,39.472825,-112.994494,1589.240000,0.020000,-7381.392000,19538.040000,184.960000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M02,39.472845,-112.994485,1589.138000,0.020000,-7380.577000,19540.335000,184.853000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
