name1,name2,ref,S,H,V
BR_BR2,BR_M00,OPUS,72.854,72.833,1.758
BR_BR2,BR_M01,OPUS,73.174,72.949,5.729
BR_BR2,BR_M02,OPUS,76.903,76.883,1.750
BR_BR2,BR_M04,OPUS,68.278,68.255,1.769
BR_BR2,BR_M04,OPUS,68.275,68.252,1.772
BR_BR2,BR_M05,OPUS,68.804,68.565,5.736
BR_BR2,BR_BR2,OPUS,0.002,0.001,0.002
BR_BR2,BR_ELS,OPUS,39.668,39.554,3.001
BR_BR2,BR_BR2,OPUS,0.003,0.000,0.003
BR_BR2,BR_M00,OPUS,72.859,72.838,1.762
BR_BR2,BR_M00,OPUS,72.862,72.838,1.875
BR_BR2,BR_M00,OPUS,72.861,72.837,1.872
BR_BR2,BR_M02,OPUS,76.906,76.886,1.755
BR_BR2,BR_M02,OPUS,76.906,76.886,1.753
BR_BR2,BR_M02,OPUS,76.906,76.886,1.753
BR_BR2,BR_M03,OPUS,77.312,77.100,5.718
BR_BR2,BR_BR2,OPUS,0.002,0.002,0.001
BR_BR2,BR_M00,OPUS,72.855,72.834,1.759
BR_BR2,BR_M00,OPUS,72.837,72.816,1.763
BR_BR2,BR_M01,OPUS,73.169,72.945,5.728
BR_BR2,BR_M02,OPUS,76.904,76.884,1.751
BR_BR2,BR_M03,OPUS,77.302,77.091,5.712
BR_BR2,BR_M04,OPUS,68.270,68.247,1.770
BR_BR2,BR_M04,OPUS,68.253,68.230,1.770
BR_BR2,BR_M04,OPUS,68.285,68.262,1.774
BR_BR2,BR_M05,OPUS,68.802,68.562,5.734
BR_BR2,BR_M05,OPUS,68.806,68.566,5.736
BR_BR2,BR2_BR1,OPUS,60.379,60.377,0.384
BR_BR2,BR2_ELS,OPUS,39.623,39.519,2.879
BR_BR2,BR2_BR1,OPUS,60.380,60.379,0.380
BR_BR2,BR2_M10,OPUS,67.947,67.924,1.779
BR_BR2,BR2_M10,OPUS,67.979,67.956,1.780
BR_BR2,BR2_M10,OPUS,67.918,67.895,1.779
BR_BR2,BR2_M10,OPUS,67.947,67.924,1.782
BR_BR2,BR2_M11,OPUS,68.510,68.269,5.742
BR_BR2,BR2_M06,OPUS,70.148,70.125,1.771
BR_BR2,BR2_M06,OPUS,70.199,70.177,1.779
BR_BR2,BR2_M07,OPUS,70.750,70.512,5.801
BR_BR2,BR2_M07,OPUS,70.751,70.519,5.732
BR_BR2,BR2_M07,OPUS,70.737,70.504,5.741
BR_BR2,BR2_M08,OPUS,69.232,69.209,1.772
BR_BR2,BR2_M09,OPUS,69.805,69.568,5.737
BR_BR2,BR2_M09,OPUS,69.790,69.553,5.743
BR_BR2,BR2_BR1,OPUS,60.379,60.378,0.376
BR_BR2,BR2_M10,OPUS,67.948,67.924,1.774
